title,url,company,location,easy_apply,age,query,search_location,viewed,applied,date_applied,skip,recruiter,,,,,,
Systems Programmer/Analyst,/cmp/Astyra/jobs/System-Programmer-Analyst-ba64cf3f359418ce?r=1&fccid=fdeef861d062871f,Astyra,"Richmond, VA 23230",TRUE,0,,,TRUE,TRUE,12/7/2016 1:26:00,,,,,,,,
Software Engineer/Developer (Javascript/Java),/rc/clk?jk=987108f540a2a726&fccid=e9e4ed19f8a687da,"Reinventing Geospatial, Inc.","Fairfax, VA",TRUE,0,,,TRUE,TRUE,12/7/2016 1:27:00,,,,,,,,
"Junior Support/Front End Developer-Atlanta, GA",/rc/clk?jk=0d1044db6ef4f691&fccid=153ceaf0276cc9d8,Spartan Resources,"Atlanta, GA",TRUE,0,,,TRUE,TRUE,12/7/2016 14:42:00,,,,,,,,
Web Development Immersive Instructor,/rc/clk?jk=10ad2df5fd25397e&fccid=a4cd0efa7775ecd2,General Assembly,"Denver, CO",TRUE,0,,,TRUE,TRUE,12/7/2016 14:46:00,,,,,,,,
"Senior / Principal Full-Stack Engineer (Java, Ruby, Knockout.jS)",/rc/clk?jk=6ca5c8a51222e79d&fccid=a6084b1ce661ea3c,WinterWyman,"Boston, MA 02210 (South Boston area)",TRUE,0,,,TRUE,TRUE,12/7/2016 14:47:00,,,,,,,,
Perl Application Developer,/cmp/Perl-Application-Developer/jobs/-50ffd088b788324a?r=1&fccid=755498bfdd9a4035,Perl Application Developer,"Fairfax, VA",TRUE,0,,,TRUE,TRUE,12/7/2016 14:48:00,,,,,,,,
Java Architect,/rc/clk?jk=886eeae66432a1de&fccid=2ec5176ee5bf93c4,"Technical Options, Inc","Chicago, IL",TRUE,1,,,TRUE,TRUE,12/7/2016 14:49:00,,,,,,,,
.NET Developer (Junior) NO C2C,/cmp/Ruby-Recruiting/jobs/Net-Developer-No-2ebfbbe168979871?r=1&fccid=0a3ec8e781f558ca,Ruby Recruiting,"Greenville, SC",TRUE,1,,,TRUE,TRUE,12/7/2016 14:50:00,,,,,,,,
Ruby Full Stack Developer,/rc/clk?jk=ea4afc51116a5172&fccid=dc8de41a57c3df31,kohactive,Remote,TRUE,1,,,TRUE,TRUE,12/7/2016 14:51:00,,,,,,,,
Software Developer-Ruby,/rc/clk?jk=d7e30f95c567b545&fccid=cb7d575394edd17f,Parks Professional Placements,"New Orleans, LA",TRUE,1,ruby on rails,new orleans,TRUE,TRUE,12/7/2016 14:54:00,,,,,,,,
Software Engineer,/rc/clk?jk=0905211b08a086ae&fccid=cbeb390c31b2a838,Apex Systems Inc,"New York, NY 10004 (Financial District area)",TRUE,1,ruby on rails,new york city,TRUE,TRUE,12/7/2016 15:00:00,,,,,,,,
Jr-Mid Dev Ops Engineer/Sys Admin,/pagead/clk?mo=r&ad=-6NYlbfkN0AVKW1135Wy9M1uStkJmOBt07F7iWFAhnVVmiJxfaZmkUdfIh9rqq27j_ky2qw5uztLyjfirgcbSx-xMVq9fVfbE2EaFGgsbNsBbJBBjbC1bt5V7iHVmIsxkTBXR55TET5bgAnlMPh79GyWrPxHfBbwIcCQ3h5xpyTYjlX2LuEHMjs-w7HdyHL3CbOqSEQ2xcqfQfihVtI16MqI06cACv8iXYkSbHh6AygZkaqkI3WYTQ3wwJhW3GdUDeQWPkjR4j-O2Xyy5Yy9PfOOMG_ZUn44Y60-K2n_qCSZ7hMUi-dUwVVdNqlEh-RHwVaXWXxRwWmSE2OxyptAbbIIBMYsMAkM6lfNkS4u2liucReb3QCqeOHx3m5Vfeo7O6xofBb8I7WDRoNoOOXYggoHpJ8UkTlUbdmln-NJqvYgxAtQZrJ9k9yKU7xTTAwEEm4AEfozZ3A=&p=2&sk=&fvj=1,"Reinventing Geospatial, Inc.","Alexandria, VA",TRUE,2,,,TRUE,TRUE,12/7/2016 15:03:00,,,,,,,,
QA Engineer,/cmp/LT/jobs/QA-Engineer-1f90cc52c95f7a09?r=1&fccid=867f5ccabfd4ec09,LT,"San Francisco, CA",TRUE,2,,,TRUE,TRUE,12/7/2016 15:31:00,,,,,,,,
